"Lab_number","State","Water_body","Location","Station_ID","Sample_Date","Sample_Year","Sample_Month","Veligers_Observed","Veligers_L","Microscopy_result","QuaggaMusselPCRType","ZebraMusselPCRType","DNASequencingResultType"
211782,"AZ","Theodore Roosevelt Lake","WINDY HILL","R-WH",2021-09-20,"2021","September","0","0","Negative","Negative","Negative","Not Tested"
211783,"AZ","Theodore Roosevelt Lake","MARINA","R-M",2021-09-20,"2021","September","0","0","Negative","Negative","Negative","Not Tested"
211784,"AZ","Theodore Roosevelt Lake","DAM","R-D",2021-09-20,"2021","September","0","0","Negative","Negative","Negative","Not Tested"
211785,"AZ","Theodore Roosevelt Lake","CHOLLA RECREATION SITE","R-CRS",2021-09-20,"2021","September","0","0","Negative","Negative","Negative","Not Tested"
211797,"AZ","Canyon Lake","BELOW DAM","C-BD",2021-09-21,"2021","September","1047","1.4812020037085727","Positive","Not Tested","Not Tested","Not Tested"
211798,"AZ","Canyon Lake","BEER CAN FLATS","C-BCF",2021-09-21,"2021","September","52","2.4521650491195725E-2","Positive","Not Tested","Not Tested","Not Tested"
211799,"AZ","Canyon Lake","DAM 0-5 M","C-D",2021-09-21,"2021","September","3","3.5367765131532297E-3","Positive","Not Tested","Not Tested","Not Tested"
211800,"AZ","Canyon Lake","DAM 5-29 M","C-D",2021-09-21,"2021","September","72","1.5670640550586618E-2","Positive","Not Tested","Not Tested","Not Tested"
211801,"AZ","Canyon Lake","MARINA","C-M",2021-09-21,"2021","September","111","2.8551432215273346E-2","Positive","Not Tested","Not Tested","Not Tested"
211802,"AZ","Saguaro Lake","BOATERS CAMPGROUND","S-BC",2021-09-21,"2021","September","34","1.6033386859627973E-2","Positive","Not Tested","Not Tested","Not Tested"
211803,"AZ","Saguaro Lake","MARINA","S-MD",2021-09-21,"2021","September","0","0","Negative","Not Tested","Not Tested","Not Tested"
211804,"AZ","Saguaro Lake","BOAT RAMP","S-BR",2021-09-21,"2021","September","0","0","Negative","Not Tested","Not Tested","Not Tested"
211805,"AZ","Granite Reef Diversion Dam","DOCK","GR-D",2021-09-21,"2021","September","0","0","Negative","Negative","Negative","Not Tested"
211997,"AZ","Bartlett Reservoir","MAIN BOAT LAUNCH","B-MBL",2021-12-13,"2021","December","0","0","Negative","Negative","Negative","Not Tested"
211998,"AZ","Bartlett Reservoir","BOATERS CAMPGROUND","B-BC",2021-12-13,"2021","December","0","0","Negative","Negative","Negative","Not Tested"
211999,"AZ","Bartlett Reservoir","MARINA","B-M",2021-12-13,"2021","December","0","0","Negative","Negative","Negative","Not Tested"
212001,"AZ","Bartlett Reservoir","BOAT RAMP","B-MBL",2021-12-14,"2021","December","0","0","Negative","Negative","Negative","Not Tested"
212002,"AZ","Theodore Roosevelt Lake","MARINA","R-M",2021-12-14,"2021","December","0","0","Negative","Negative","Negative","Not Tested"
212003,"AZ","Theodore Roosevelt Lake","WINDY HILL (BADGER) BOAT RAMP","R-WH",2021-12-14,"2021","December","0","0","Negative","Negative","Negative","Not Tested"
212006,"AZ","Apache Lake","MARINA","A-M",2021-12-14,"2021","December","2580","0.72999067231482662","Positive","Not Tested","Not Tested","Not Tested"
212007,"AZ","Apache Lake","BURNT HORSE CORRAL","A-BHC",2021-12-14,"2021","December","442","0.12506041750509819","Positive","Not Tested","Not Tested","Not Tested"
212008,"AZ","Saguaro Lake","MAIN BOAT RAMP","S-BR",2021-12-14,"2021","December","0","0","Negative","Not Tested","Not Tested","Not Tested"
212009,"AZ","Saguaro Lake","MARINA","S-MD",2021-12-14,"2021","December","0","0","Negative","Not Tested","Not Tested","Not Tested"
212010,"AZ","Granite Reef Diversion Dam","DOCK","GR-D",2021-12-14,"2021","December","0","0","Negative","Negative","Negative","Not Tested"
212013,"AZ","Canyon Lake","MARINA","C-M",2021-12-15,"2021","December","1370","0.38763070584159398","Positive","Not Tested","Not Tested","Not Tested"
220000,"AZ","Bartlett Reservoir","BOATERS CAMPGROUND","B-BC",2022-01-10,"2022","January","0","0","Negative","Negative","Negative","Not Tested"
220001,"AZ","Bartlett Reservoir","MAIN BOAT LAUNCH","B-MBL",2022-01-10,"2022","January","0","0","Negative","Negative","Negative","Not Tested"
220002,"AZ","Bartlett Reservoir","DAM","B-D",2022-01-10,"2022","January","0","0","Negative","Negative","Negative","Not Tested"
220003,"AZ","Bartlett Reservoir","MARINA","B-M",2022-01-10,"2022","January","0","0","Negative","Negative","Negative","Not Tested"
220005,"AZ","Theodore Roosevelt Lake","CHOLLA RECREATION SITE","R-CRS",2022-01-10,"2022","January","0","0","Negative","Negative","Negative","Not Tested"
220006,"AZ","Theodore Roosevelt Lake","DAM","R-D",2022-01-10,"2022","January","0","0","Negative","Negative","Negative","Not Tested"
220007,"AZ","Theodore Roosevelt Lake","MARINA","R-M",2022-01-10,"2022","January","0","0","Negative","Negative","Negative","Not Tested"
220008,"AZ","Theodore Roosevelt Lake","WINDY HILL","R-WH",2022-01-10,"2022","January","0","0","Negative","Negative","Negative","Not Tested"
220010,"AZ","Bartlett Reservoir","BOATERS CAMPGROUND","B-BC",2022-02-07,"2022","January","0","0","Negative","Negative","Negative","Not Tested"
220011,"AZ","Bartlett Reservoir","MAIN BOAT LAUNCH","B-MBL",2022-02-07,"2022","January","0","0","Negative","Negative","Negative","Not Tested"
220012,"AZ","Bartlett Reservoir","DAM","B-D",2022-02-07,"2022","January","0","0","Negative","Negative","Negative","Not Tested"
220013,"AZ","Bartlett Reservoir","MARINA","B-M",2022-02-07,"2022","January","0","0","Negative","Negative","Negative","Not Tested"
220015,"AZ","Theodore Roosevelt Lake","CHOLLA RECREATION SITE","R-CRS",2022-02-08,"2022","January","0","0","Negative","Negative","Negative","Not Tested"
220016,"AZ","Theodore Roosevelt Lake","DAM","R-D",2022-02-08,"2022","January","0","0","Negative","Negative","Negative","Not Tested"
220017,"AZ","Theodore Roosevelt Lake","MARINA","R-M",2022-02-08,"2022","January","0","0","Negative","Negative","Negative","Not Tested"
220018,"AZ","Theodore Roosevelt Lake","WINDY HILL","R-WH",2022-02-08,"2022","January","0","0","Negative","Negative","Negative","Not Tested"
220020,"AZ","Canyon Lake","BELOW DAM","C-BD",2022-02-09,"2022","January","88200","31.194368846011489","Positive","Not Tested","Not Tested","Not Tested"
220021,"AZ","Canyon Lake","BEER CAN FLATS","C-BCF",2022-02-09,"2022","January","4983","2.8198011784068071","Positive","Not Tested","Not Tested","Not Tested"
220022,"AZ","Canyon Lake","DAM 0-5 M","C-D",2022-02-09,"2022","January","839","7.9129479854281592E-2","Positive","Not Tested","Not Tested","Not Tested"
220023,"AZ","Canyon Lake","DAM 5-29 M","C-D",2022-02-09,"2022","January","2348","1.3286962004614054","Positive","Not Tested","Not Tested","Not Tested"
220024,"AZ","Canyon Lake","MARINA","C-M",2022-02-09,"2022","January","864","0.34923141798450175","Positive","Not Tested","Not Tested","Not Tested"
220025,"AZ","Apache Lake","DAM 0-5 M","A-D",2022-02-08,"2022","January","23470","13.281303162193009","Positive","Not Tested","Not Tested","Not Tested"
